question_id,bloom_level,question
ANA_020,Analysis,Compare the place where the story happened with where you live.
ANA_021,Analysis,Compare this book to the last book you read.
ANA_022,Analysis,Compare three celebrations using a Venn diagram.
ANA_023,Analysis,Compare two dog food commercials. What is the difference between them and how do they both sell their products?
ANA_024,Analysis,Compare two of the characters in this book.
ANA_025,Analysis,Conduct an investigation to produce information to support a view.
ANA_026,Analysis,Contrast building in the coastal zone with building in a river floodplain.
ANA_027,Analysis,Contrast Olympic athletes of today with athletes of past Olympic games.
ANA_028,Analysis,Differentiate between .call by value and call by reference.
ANA_029,Analysis,Differentiate printf function calls for displaying prompts and for echoing data.
ANA_030,Analysis,Distinguish between micro and macro economics.
ANA_031,Analysis,Distinguish facts from hypotheses
ANA_032,Analysis,"Divide the story into initiating event, rising action, climax, and falling action"
ANA_033,Analysis,"Examine what helps to make a good Olympics? Think about money, schedules, sports and people."
ANA_034,Analysis,"Explain the term conjugal families, by making reference to the different types of societies to which they could belong."
ANA_035,Analysis,analyze the positive and negative points presented concerning the abolition of guns and write a brief (2-3page) narrative of your analysis.
ANA_036,Analysis,"Differentiate the passages that attacked a political opponent personally, and those that attacked an opponent's political programs."
ANA_037,Analysis,How does your pet differ from other animals?
ANA_038,Analysis,How does...compare/contrast with...?
ANA_039,Analysis,How is . . . similar to . . .?
ANA_040,Analysis,How was life different in your town 100 years ago?
ANA_041,Analysis,How was this similar to . . .?
ANA_042,Analysis,How would this story be different if it had happened in a different country?
ANA_043,Analysis,How would you distinguish between polymyositis and viral myositis in a 42-year-old man with weakness and a rash?
ANA_044,Analysis,"If your story happened in a foreign land, compare that land to the United States."
ANA_045,Analysis,"If your story occurred long ago, compare that time with today in a good paragraph. If it was a modern story, compare it with a long time ago and tell what would be different."
ANA_046,Analysis,Investigate innovations that can enhance future Olympics.
ANA_047,Analysis,Make a diagnosis or analyze a case study.
ANA_048,Analysis,Select the athlete of the century and analyze why you chose this person.
ANA_049,Analysis,"If interest were compounded monthly instead of daily, what would the difference in interest be?"
ANA_050,Analysis,What are the parts or features of...?
ANA_051,Analysis,Distinguish between the following giving suitable examples
ANA_052,Analysis,Distinguish between abstract date types (ADTs) and implementations of ADTs
ANA_053,Analysis,"How do you distinguish between the binge-eating/purging type of anorexia nervosa and bulimia nervosa, purging type"
ANA_054,Analysis,How does Tdap differ from Td vaccine
ANA_055,Analysis,How does autonomy differ with age
ANA_056,Analysis,In what ways do female offenders differ from male offenders
ANA_057,Analysis,in what ways trajectory patterns differ according to ABC
ANA_058,Analysis,How do psychologists differ in their general attitudes toward third party presence
ANA_059,Analysis,How did Chinese newspapers differ from US
ANA_060,Analysis,How does public health reporting differ today from reporting two years before
ANA_061,Analysis,How does an endorsement differ from a teaching certificate
ANA_062,Analysis,How do we differentiate between genuine buyer and undercover buyer
ANA_063,Analysis,How do we differentiate between an interview and an interrogation?
ANA_064,Analysis,Differentiate between the following terms along with appropriate examples
ANA_065,Analysis,Differentiate the following functions using the quotient rule
ANA_066,Analysis,Can you differentiate between ethnic Chinese and ethnic Koreans
ANA_067,Analysis,How would you differentiate obstructive apneas from central apneas
ANA_068,Analysis,How would you differentiate a project from a program
ANA_069,Analysis,How is scientific progress similar to Darwinian evolution according to Kuhn
ANA_070,Analysis,"in what ways is oxyperoxidase similar to other oxygenated heme proteins, and how does it differ"
ANA_071,Analysis,In what ways are foxes similar to wolves and dogs
ANA_072,Analysis,How are the adolescents with ASD similar of different from each other in their sources of communication breakdowns ?
ANA_073,Analysis,Examine the data in the EMPLOYEES and DEPARTMENTS tables
ANA_074,Analysis,Examine the differences between the model excluding the most influential observation and the model including all observations.
ANA_075,Analysis,Critically examine the strengths and weaknesses of the positivist paradigm
ANA_076,Analysis,Examine differences between the means of each individual switching factor.
ANA_077,Analysis,Examine carefully the given map extract on the following page to help you work out the exercise below.
ANA_078,Analysis,"Inspect each of these Boolean expressions, and determine whether each one is a sum of products, or a product of sums"
ANA_079,Analysis,Inspect the size of the loaded data: how many objects and variables does the iris data matrix contain?
ANA_080,Analysis,Can you distinguish for me between what is reasonably  achievable and what are  exaggerations
ANA_081,Analysis,Can you distinguish aged rums from unaged rums by smell
ANA_082,Analysis,Can you distinguish pot still rums from column still rums by taste
ANA_083,Analysis,Inspect the pattern of GPS positions relative to the “known” published value
ANA_084,Analysis,How does your agency inspect against its expectation for operators
ANA_085,Analysis,How to inspect and maintain fresh water plumbing systems properly
ANA_086,Analysis,Can you analyze the fractures and determine which should be repaired surgically
ANA_087,Analysis,Can you please analyze modern contemporary culture and tell me how your work plays a significant part in the remains of our post-modernist culture ?
ANA_088,Analysis,"How effectively did students analyze course content on race, class, and privilege through autobiographical reflection"
ANA_089,Analysis,How do you analyze a marginally RCT
ANA_090,Analysis,"Contrast the treatment of ""well known"" trademarks provided by Paris Article and by TRIPS Article"
ANA_091,Analysis,Contrast the Valles Marineris on Mars with the Grand Canyon
ANA_092,Analysis,How does Hawaii contrast and compare to Florida?
ANA_093,Analysis,Investigate whether or not the system can be solved for x; y; z
ANA_094,Analysis,Investigate (pointwise) convergence and absolute convergence of the given series of functions
ANA_095,Analysis,How would you investigate this patient
ANA_096,Analysis,How would you investigate this abnormality
ANA_097,Analysis,What can I do to investigate this problem further
ANA_098,Analysis,how the investigation was undertaken
ANA_099,Analysis,How would you differentiate between heterodox and mainstream
ANA_100,Analysis,"How do I differentiate between ""deceive"" and ""cheat on""?"
SYN_001,Synthesis,Apply and integrate several different strategies to solve a mathematical problem (not according to one formula(
SYN_002,Synthesis,Can you create new and unusual uses for . . .?
SYN_003,Synthesis,Can you design a . . . to . . .?
SYN_004,Synthesis,Can you develop a proposal which would . . .?
SYN_005,Synthesis,Can you invent another character for the story?
SYN_006,Synthesis,Can you see a possible solution to . . .?
SYN_007,Synthesis,Can you write a new recipe for a tasty dish?
SYN_008,Synthesis,Choose a character. Rewrite a scene from the story from this character's point of view.
SYN_009,Synthesis,Combine any two sports to develop a new Olympic sport.
SYN_010,Synthesis,"Combine elements of drama, music, and dance into a stage presentation."
SYN_011,Synthesis,Compose a class story.
SYN_012,Synthesis,Compose a dialogue between Atticus Finch and Tom Robinson when they first met.
SYN_013,Synthesis,Compose a rhythm or put new words to a known melody.
SYN_014,Synthesis,Compose a simple rap or rhyme about zoo animals.
SYN_015,Synthesis,Compose music for a frog play.
SYN_016,Synthesis,Compose a complete C program that reads text strings from a text file into a suitable data
SYN_017,Synthesis,Compose a device that would assist an athlete in their training.
SYN_018,Synthesis,Compose an original work which incorporates five common materials in sculpture.
SYN_019,Synthesis,Compose your own note-taking design that incorporates all theadvantages of the Cornell Method.
SYN_020,Synthesis,Create a chart that compares things that use electricity and things that do NOT use electricity.
SYN_021,Synthesis,Create a new product. Give it a name and plan a marketing campaign.
SYN_022,Synthesis,"Create a new song for the opening line of ""Mary had a little lamb""."
SYN_023,Synthesis,Create a set of guidelines to determine the points of a plant susceptible to localized corrosion.
SYN_024,Synthesis,Create a storyboard for a sequel to your book. Use the same characters.
SYN_025,Synthesis,Create an equation to represent the solution to this problem.
SYN_026,Synthesis,Create and perform a play about frogs.
SYN_027,Synthesis,Create plan of local environment by drawing around boxes.
SYN_028,Synthesis,Design a building according to given specifications
SYN_029,Synthesis,design a cost effective strategy to generate reliable data.
SYN_030,Synthesis,Design a machine to perform a specific task.
SYN_031,Synthesis,Design a new animal to live in the jungle.
SYN_032,Synthesis,Design a poster for this book.
SYN_033,Synthesis,Design a testing scenario to assess the susceptibility of an alloy to be used in a given environment?
SYN_034,Synthesis,Design and make an animal that moves.
SYN_035,Synthesis,Design costumes for the characters.
SYN_036,Synthesis,Design the architecture of the software system based on the requirements defined in the Software Requirement Specification document
SYN_037,Synthesis,Develop a hypothesis.
SYN_038,Synthesis,Develop a plan for a new Olympic Bid System.
SYN_039,Synthesis,Develop a SQA Plan for a software development project which is defined in the attached document.
SYN_040,Synthesis,"Develop a way to teach the concept of ""adjectives""."
SYN_041,Synthesis,Develop one plausible ending for all three short stories below.
SYN_042,Synthesis,Devise a new economic system based on the ones that already exist.
SYN_043,Synthesis,Devise plans to market or make artwork more valuable.
SYN_044,Synthesis,Draw a painting that uses various principles of perspective to achieve its effect.
SYN_045,Synthesis,"Explain how the biological concept of symbiotic relationships could be used to help solve socially created problems like water pollution, overflowing garbage landfills, or homelessness."
SYN_046,Synthesis,Explain why it is likely that a matriarchal family system would be found in a matrilocal or matrilineal society.
SYN_047,Synthesis,"Following the identification of the forms of corrosion that were involved in a failure, recommend a solution to avoid this failure?"
SYN_048,Synthesis,Given two opposing theories design an experiment to compare them.
SYN_049,Synthesis,How could we determine the number of pennies in a jar without counting them?
SYN_050,Synthesis,How could you re-write this story with a city setting?
SYN_051,Synthesis,"how do the clauses and expressions given in the article which replace GOTO statements, lead to the three traditional control statements"
SYN_052,Synthesis,How many ways can you . . .?
SYN_053,Synthesis,How would the U.S.A. be different if the South had won the Civil War?
SYN_054,Synthesis,How would you change the story to create a different ending?
SYN_055,Synthesis,How would you create/design a new...?
SYN_056,Synthesis,How would you restructure the school day to reflect children's developmental needs?
SYN_057,Synthesis,Identify one problem in the book and give an alternate solution one not given by the author.
SYN_058,Synthesis,If you had access to all resources how would you deal with . . .?
SYN_059,Synthesis,Integrate training from several sources to solve a problem.
SYN_060,Synthesis,Invent a machine to do a specific task.
SYN_061,Synthesis,Justify your choice of data structure.
SYN_062,Synthesis,Make a radio announcement that advertise the book. Write it out.
SYN_063,Synthesis,Make up a new language code and write material using it.
SYN_064,Synthesis,Name one character. Rewrite the story from this character's point of view.
SYN_065,Synthesis,Organize this book into three or more sections and give your own subtitle for each section.
SYN_066,Synthesis,Plan a research paper on a given historical topic
SYN_067,Synthesis,Predict the differences of a planet with no seasonal changes.
SYN_068,Synthesis,Prepare a book jacket that illustrates the kind of book as well as the story.
SYN_069,Synthesis,Pretend you are a librarian recommending this book to someone. Write a paragraph telling what  you would say.
SYN_070,Synthesis,Revise and process to improve the outcome.
SYN_071,Synthesis,Revise how to complete a complex task in order to improve the outcome.
SYN_072,Synthesis,Revises and process to improve the outcome.
SYN_073,Synthesis,"structure, sorts the list in ascending order, displays the list on the screen and stores the list"
SYN_074,Synthesis,Suppose Phillip wasn't rescued shortly after Timothy's death. How long could he have survived?
SYN_075,Synthesis,"Using information from the book about one of the main characters, rewrite the ending of the book."
SYN_076,Synthesis,What ideas can you add to...?
SYN_077,Synthesis,What might happen if you combined...?
SYN_078,Synthesis,What solutions would you suggest for...?
SYN_079,Synthesis,What would happen if . . .?
SYN_080,Synthesis,What would you predict/infer from...?
SYN_081,Synthesis,Why don’t you devise your own way to deal with . . .?
SYN_082,Synthesis,Why not compose a song about . . .?
SYN_083,Synthesis,"Write a C program that accepts integer inputs from the screen, computes the total and average values; and displays the values on the screen."
SYN_084,Synthesis,Write a letter to the editor on a social issue of concern to you.
SYN_085,Synthesis,Write a logically organized argument in favor of a given position.
SYN_086,Synthesis,Write a poem about this book.
SYN_087,Synthesis,Write a set of rules to prevent what happened in the story.
SYN_088,Synthesis,Write a short story relating a personal experience in the style of a picaresque novel.
SYN_089,Synthesis,Write a song about 'Old MacDonald' who had a bulldozer instead of a farm.
SYN_090,Synthesis,Write an essay in not more than 250 words about India and Technological Advancement. Use active voice as much as possible.
SYN_091,Synthesis,How do you combine the results of various individual tests to determine whether a student can progress to a next semester / phase / year?
SYN_092,Synthesis,How can we combine and abstract facts about a software system to create new knowledge?
SYN_093,Synthesis,How to combine virtual symmetry and symbolic model checking effectively
SYN_094,Synthesis,How do we efficiently combine multiple subject graphs to construct an aig with choice
SYN_095,Synthesis,how do we devise a way to enforce the laws
SYN_096,Synthesis,can you devise an explicit formula for
SYN_097,Synthesis,Do you devise a systematic approach in order to get larger progressions
SYN_098,Synthesis,Develop and execute a program for this exercise
SYN_099,Synthesis,Develop a network based on the following information: Activity Immediate predecessors
SYN_100,Synthesis,How could we develop a coherent measure of success for organisations engaged in this type of activity with young people?
EVA_001,Evaluation,"After designing an experiment, examining the results, and drawing conclusions, determines in what ways the experiment could be conducted more effectively in order to draw more productive conclusions in the future."
EVA_002,Evaluation,"After examining the videotape of a play in a football game, determine the degree to which the defensive team performed effectively and"
EVA_003,Evaluation,"After solving a problem, determine the degree to which the problem was solved as efficiently as possible"
EVA_004,Evaluation,Appraise data in support of a hypothesis.
EVA_005,Evaluation,Appraise the speech's effectiveness based upon the class' criteria.
EVA_006,Evaluation,Are there students who should not use the Cornell method?
EVA_007,Evaluation,Are you a . . . person?
EVA_008,Evaluation,Assess the appropriateness of an author's conclusions based on the evidence given.
EVA_009,Evaluation,Assess the importance of understanding seasonal patters.
EVA_010,Evaluation,Assess the relative effectiveness of different graphical representations of the same data or biological concept.
EVA_011,Evaluation,Assess the strengths and weaknesses of the current Olympics and recommend action that should be taken in future Olympics: What can be
EVA_012,Evaluation,"Award the contract to the best proposal. Rank the principles of ""good sportsmanship"" in order of importance to you."
EVA_013,Evaluation,Can you defend the idea that Simon's incident with the pig's head is the most mystical in the story?
EVA_014,Evaluation,Can you defend your position about . . .?
EVA_015,Evaluation,Choose a paint schedule for the maintenance of an outdoor structure? (level 2)
EVA_016,Evaluation,Choose and illustrate the two most important events in the story.
EVA_017,Evaluation,Conclude and support which economic system leads to a higher standard of living.
EVA_018,Evaluation,Construct a poster that will advertise your new food product in an exciting and irresistible way.
EVA_019,Evaluation,Critique an experimental design or a research proposal.
EVA_020,Evaluation,"Critique the other student's (or your own) speech, based on the criteria we have studied this semester."
EVA_021,Evaluation,Decide whether you are in favor of building on a floodplain; defend your position in a debate.
EVA_022,Evaluation,Decide whether you could have survived on the island blind and alone. Write about things that would have been challenging making sure to
EVA_023,Evaluation,Decide whether you learned enough about electricity from this book.
EVA_024,Evaluation,Decide which candidate would best fill the position of principal.
EVA_025,Evaluation,Decide which course of action was most effective
EVA_026,Evaluation,Decide which method of solving a problem was most effective
EVA_027,Evaluation,Defend the following claim: The Cornell method works so well that it could turn even a poor lecture into a valuable learning experience.
EVA_028,Evaluation,Defend your use of a specific strategy in solving the problem.
EVA_029,Evaluation,Describe the economic consequence of a neolocal society. Support your description with information you have learned from this course.
EVA_030,Evaluation,Design a healthy menu that you think most people would enjoy using the healthy eating guide.
EVA_031,Evaluation,Determine if a character’s actions were heroic
EVA_032,Evaluation,Do you agree...?
EVA_033,Evaluation,Do you think . . . is a good or a bad thing?
EVA_034,Evaluation,Establish criteria for making this choice and defend your final selection.
EVA_035,Evaluation,"Evaluate a work of art, giving the reasons for your evaluation."
EVA_036,Evaluation,Evaluate appropriate and inappropriate actions of characters.
EVA_037,Evaluation,Evaluate board games and justify why rules are important.
EVA_038,Evaluation,Evaluate the corrosion monitoring needs of a chemical processing plant
EVA_039,Evaluation,Evaluate the level of galvanic coupling between two metals using basic kinetic information? (level 4)
EVA_040,Evaluation,Evaluate two Internet sources of information about the Egyptians. Which would be a better choice for your purpose and why?
EVA_041,Evaluation,Evaluate whether their model is a true representation of the local environment.
EVA_042,Evaluation,Evaluate your own or a peer's essay in terms of the principles of composition discussed during the semester.
EVA_043,Evaluation,Examine the stated positions of both major political candidates with regard to a particular issue and state good reasons (based on principles discussed in class) for why one candidates position is more likely to be effective than the other's.
EVA_044,Evaluation,Explain and justify a new budget.
EVA_045,Evaluation,Explain choices made in making recommendations to an end user.
EVA_046,Evaluation,"Given an argument on any position, enumerate the logical fallacies in that argument."
EVA_047,Evaluation,"Given the data available on a research question, take a position and defend it."
EVA_048,Evaluation,"Given the data we've looked at on this topic, evaluate how appropriate this conclusion is and defend your answer."
EVA_049,Evaluation,"Given the two solutions to the stated programming problem, rate the solutions in  terms of efficiency and readability."
EVA_050,Evaluation,"Given three possible approaches to implement the defined system, discuss the possible advantages and disadvantages of each approach."
EVA_051,Evaluation,"Given two possible solutions, A and B, to solving the given software development problem, decide on the best solution. Give your justification."
EVA_052,Evaluation,How effective are . . .?
EVA_053,Evaluation,How would you decide about...?
EVA_054,Evaluation,How would you feel if . . .?
EVA_055,Evaluation,How would you have handled . . .?
EVA_056,Evaluation,"improved, reformed or rejected?"
EVA_057,Evaluation,"In a given clinical situation, select the most reasonable intervention and predict the main effects and possible side effects."
EVA_058,Evaluation,Is there a better solution to . . .?
EVA_059,Evaluation,Judge aesthetic qualities and relationship to future values.
EVA_060,Evaluation,judge the difficulty level for yourself.
EVA_061,Evaluation,Judge the value of . . .?
EVA_062,Evaluation,Judge whether it would be possible to survive on an island alone and blinded. Write about it.
EVA_063,Evaluation,Judge whether Olympic Ideals are realistic or unrealistic for the contemporary elite athlete.
EVA_064,Evaluation,Justify and nominate ways to prevent animal extinction.
EVA_065,Evaluation,Justify the title To Kill a Mockingbird .
EVA_066,Evaluation,Listen to two classmates conversing on tape and critique their performance on the basis of the skills covered this semester.
EVA_067,Evaluation,Place the following in order of priority...
EVA_068,Evaluation,Predict what will happen next in.
EVA_069,Evaluation,Predict whether Phillip will ever go back to visit the Cay after several years of recovery. Assuming he gets his sight back.
EVA_070,Evaluation,Recommend how our classroom or playground could be improved.
EVA_071,Evaluation,Select the best proposal for a proposed water treatment plant.
EVA_072,Evaluation,Select the most effective solution.
EVA_073,Evaluation,suggest ways in which it could have responded more effectively
EVA_074,Evaluation,decide about the most exciting part of the book. being sure to give at least three reasons why?
EVA_075,Evaluation,Use a judge and jury to discuss the statement 'Children enjoy Anthony Browne's books because of the illustrations'.
EVA_076,Evaluation,"Using straight value depreciation, decide between two copper-nickel alloys for the design of a heat exchanger."
EVA_077,Evaluation,"Using the basic principles of socialism discussed in this course, evaluate the US economic system by providing key arguments to support your judgment."
EVA_078,Evaluation,Was Hemingway a great American writer? First you will need to define greatness.
EVA_079,Evaluation,What changes to . . . would you recommend?
EVA_080,Evaluation,What criteria would you use to assess the validity of a business contract?
EVA_081,Evaluation,What criteria would you use to assess...?
EVA_082,Evaluation,What do you think about . . .?
EVA_083,Evaluation,What is part of this book did you like best. Tell why you like it?
EVA_084,Evaluation,What is the most important...?
EVA_085,Evaluation,Which of the following actions would probably be least effective in determining the answer?
EVA_086,Evaluation,"Which of the two algorithms, bubblesort or quicksort, is more efficient? Justify your answer."
EVA_087,Evaluation,Would you have liked to have had Cinderella for a sister? Explain why or why not.
EVA_088,Evaluation,Write a list of criteria to judge the Willy raps.
EVA_089,Evaluation,Revise the story and specify the type of audience that would enjoy this book.
EVA_090,Evaluation,Estimate the epicentral coordinates of the earth-quake
EVA_091,Evaluation,Estimate the risk of serious illness for consumers in different susceptible population groups
EVA_092,Evaluation,Estimate expenditure on HIV/AIDS education
EVA_093,Evaluation,Estimate the difficulty of the question
EVA_094,Evaluation,Estimate roughly how long the collision process takes
EVA_095,Evaluation,What do you think is the best thing about coming to Viestal?
EVA_096,Evaluation,What do you think is the mass and why
EVA_097,Evaluation,What do you think are the strengths of using integrated math in your program?
EVA_098,Evaluation,Do you think that this statement conveys the idea that i am trying to portray
EVA_099,Evaluation,How do you think the community should grow or change
EVA_100,Evaluation,How Do You Think One Should Reason in Making Ethical Decisions in Business
